Word,Rank,Frequency
son,469,99
pleased,470,99
nature,471,98
likely,472,98
settled,473,98
open,474,98
elizabeth,475,97
believed,476,97
expected,477,97
kindness,478,97
call,479,97
used,480,96
gentleman,481,96
bear,482,96
extremely,483,95
london,484,94
degree,485,94
new,486,94
behaviour,487,93
girl,488,93
hours,489,92
impossible,490,92
case,491,92
dinner,492,92
four,493,92
country,494,91
use,495,91
cold,496,91
randalls,497,90
met,498,89
ask,499,89
barton,500,89
men,501,89
cottage,502,89
week,503,89
question,504,89
imagine,505,88
sat,506,88
speaking,507,88
read,508,87
sometimes,509,87
common,510,87
early,511,87
five,512,87
remember,513,86
street,514,86
asked,515,86
acquainted,516,86
taste,517,86
martin,518,85
meeting,519,85
society,520,85
circumstances,521,85
t,522,85
got,523,84
handsome,524,84
months,525,84
conduct,526,83
proper,527,83
air,528,83
appearance,529,82
allow,530,82
respect,531,82
forward,532,81
round,533,81
perry,534,80
smile,535,80
meant,536,80
hoped,537,80
large,538,80
superior,539,80
alone,540,80
greater,541,80
walking,542,79
pain,543,79
need,544,79
face,545,79
necessary,546,79
help,547,79
consequence,548,79
comfortable,549,78
keep,550,78
anxious,551,78
small,552,78
meet,553,78
supposed,554,78
truth,555,78
uppercross,556,77
sisters,557,77
palmer,558,77
convinced,559,77
beginning,560,77
worth,561,77
probably,562,77
turned,563,77
knowledge,564,76
fancy,565,76
satisfaction,566,76
taking,567,76
drawing,568,76
living,569,76
hearing,570,76
anything,571,75
harville,572,75
consider,573,74
advantage,574,74
eye,575,74
henrietta,576,74
appear,577,73
silent,578,73
entered,579,73
seem,580,73
sitting,581,73
notice,582,73
kellynch,583,73
former,584,73
serious,585,72
health,586,72
past,587,72
considered,588,72
table,589,72
allowed,590,72
thoughts,591,71
circumstance,592,71
fond,593,71
certain,594,71
worse,595,71
sake,596,71
wrong,597,71
thousand,598,71
self,599,71
letters,600,71
weather,601,70
spite,602,70
favour,603,70
benwick,604,70
isabella,605,69
curiosity,606,69
admiral,607,69
temper,608,69
pleasant,609,69
delighted,610,69
robert,611,69
kept,612,68
excellent,613,68
bring,614,68
happened,615,68
none,616,68
sent,617,68
match,618,68
resolution,619,68
sight,620,67
late,621,67
spoken,622,67
live,623,67
occasion,624,67
ten,625,67
whatever,626,67
lyme,627,67
equally,628,67
spent,629,67
understanding,630,66
delightful,631,66
invitation,632,66
meaning,633,66
sit,634,66
twenty,635,66
ah,636,66
clay,637,66
aunt,638,66
morrow,639,66
danger,640,66
second,641,66
greatest,642,65
lived,643,65
view,644,65
sensible,645,65
surprise,646,64
difference,647,64
times,648,64
easy,649,64
style,650,64
knowing,651,64
creature,652,64
silence,653,63
thank,654,63
ago,655,63
followed,656,62
regret,657,62
cole,658,61
persuaded,659,61
answered,660,61
wishes,661,61
turn,662,61
ma,663,61
tried,664,61
merely,665,61
countenance,666,60
plan,667,60
beauty,668,60
opportunity,669,60
low,670,60
looks,671,60
influence,672,60
distress,673,60
hands,674,60
friendship,675,60
evil,676,60
disposed,677,60
goddard,678,59
news,679,59
amiable,680,59
warm,681,59
loved,682,59
yesterday,683,59
lost,684,59
law,685,59
interesting,686,59
instantly,687,59
everything,688,59
seems,689,59
confidence,690,59
quiet,691,59
judgment,692,59
honour,693,59
perfect,694,58
park,695,58
remained,696,58
except,697,58
pity,698,58
future,699,58
praise,700,58
croft,701,58
mentioned,702,58
high,703,58
aware,704,57
arrival,705,57
gratitude,706,57
expect,707,57
event,708,57
fixed,709,57
resolved,710,57
scarcely,711,57
understood,712,57
spirit,713,56
favourite,714,56
admiration,715,56
difficulty,716,56
especially,717,56
instead,718,56
decided,719,56
wait,720,55
reached,721,55
smiling,722,55
companion,723,55
enjoyment,724,55
smallest,725,55
mine,726,54
otherwise,727,54
highly,728,54
weeks,729,54
money,730,54
tone,731,54
window,732,54
",'",733,54
observed,734,54
turning,735,53
